Scope                         Parameter                         Meaning                                                                        Type/Units                                         Typical/Allowed Values         Formula or Mapping                                                                                                        Primary Source                                                                                                         
add_multi                     SUM_WIDTH                         Derived output sum width                                                       int bits                                           derived                        "SUM_WIDTH = sumwidth(N                                                                                                    ARG_WIDTH                                                           ARG_LO                                  ARG_HI)"  finn/finn-rtllib/mvu/add_multi.sv:43
dotp_finn.py (CLI)            --simd                            Operand pairs per cycle passed to generator                                    int                                                required                       n = simd                                                                                                                  compressor-python/src/dotp_finn.py:119                                                                                 
dotp_finn.py (CLI)            --ww                              Weight bit width                                                               int bits                                           required                       maps into na/nb ordering                                                                                                  compressor-python/src/dotp_finn.py:120                                                                                 
dotp_finn.py (CLI)            --aw                              Activation bit width                                                           int bits                                           required                       maps into na/nb ordering                                                                                                  compressor-python/src/dotp_finn.py:121                                                                                 
dotp_finn.py (CLI)            --accu_width                      Accumulator width in generated compressor                                      int bits                                           required                       used as accumulator_width                                                                                                 compressor-python/src/dotp_finn.py:122                                                                                 
dotp_finn.py (CLI)            --signed_activations              Activation sign flag                                                           flag                                               optional                       controls sb_finn and sa/sb mapping                                                                                        compressor-python/src/dotp_finn.py:123                                                                                 
dotp_finn.py (CLI)            --target                          FPGA target backend                                                            string                                             Versal|7-Series                selects target object                                                                                                     compressor-python/src/dotp_finn.py:125                                                                                 
dotp_finn.py (CLI)            --pipeline_every                  Insert registers every N comb stages                                           int or None                                        optional                       passed as comb_depth                                                                                                      compressor-python/src/dotp_finn.py:128                                                                                 
dotp_finn.py (internal)       n                                 Compressor multiplicity                                                        int derived                                        >=1                            "n = simd"                                                                                                                compressor-python/src/dotp_finn.py:53                                                                                  
dotp_finn.py (internal)       na nb                             Ordered operand widths for mul_comp_map                                        int                                                int >=1                        "if ww>=aw then na=ww nb=aw else na=aw nb=ww"                                                                             compressor-python/src/dotp_finn.py:45                                                                                  
dotp_finn.py (internal)       sa sb                             Ordered operand signedness                                                     bool                                               bool                           weights always signed before/after optional swap                                                                          compressor-python/src/dotp_finn.py:40                                                                                  
dotp_finn.py (internal)       swapped                           Whether ww/aw were swapped for NA>=NB                                          bool                                               True|False                     True when aw > ww                                                                                                         compressor-python/src/dotp_finn.py:49                                                                                  
dotp_add_multi_finn.py        Core parameterization             Same parameter flow as dotp_finn.py in this workspace                          text                                               N/A                            Uses same compute_params and CLI names                                                                                    compressor-python/src/dotp_add_multi_finn.py:37                                                                        
add_multi_finn.py (CLI)       --n                               Number of unsigned addends for generated compressor                            int                                                required                       corresponds to add_multi N and often SIMD                                                                                 compressor-python/src/add_multi_finn.py:121                                                                            
add_multi_finn.py (CLI)       --arg_width                       Width per addend for generated compressor                                      int bits                                           required                       corresponds to add_multi ARG_WIDTH                                                                                        compressor-python/src/add_multi_finn.py:123                                                                            
add_multi_finn.py (CLI)       --pipeline_every                  Pipeline insertion cadence                                                     int or None                                        optional                       passed as comb_depth                                                                                                      compressor-python/src/add_multi_finn.py:128                                                                            
add_multi_finn.py (internal)  shape                             Bit-column shape used by compressor generator                                  list derived                                       arg_width columns of height n  "Shape([n] * arg_width)"                                                                                                  compressor-python/src/add_multi_finn.py:74                                                                             
cheatsheet                    SF and NF                         Folding factors                                                                derived ints                                       N/A                            "SF=MW/SIMD and NF=MH/PE"                                                                                                 finn/finn-rtllib/mvu/mvu_vvu_axi.sv:145                                                                                
cheatsheet                    N in add_multi                    Meaning of N                                                                   concept                                            N/A                            Count of values reduced in one cycle                                                                                       often SIMD                                                         finn/finn-rtllib/mvu/add_multi.sv:36               
cheatsheet                    ARG_WIDTH in add_multi            Meaning of arg_width                                                           concept                                            N/A                            Bit width of each of those N values                                                                                       finn/finn-rtllib/mvu/add_multi.sv:38                                                                                   
concept                       Per-cycle MAC parallelism         How much MAC work is done in one base cycle                                    derived count                                      N/A                            "Per-cycle MACs = PE * SIMD"                                                                                              finn/finn-rtllib/mvu/mvu.sv:37                                                                                         
concept                       Temporal folding over width       How many cycles are needed to consume one full input vector for a dot product  derived cycles                                     N/A                            "SF = MW/SIMD cycles"                                                                                                     finn/finn-rtllib/mvu/mvu_vvu_axi.sv:145                                                                                
concept                       Temporal folding over height      How many PE groups are needed to produce all output channels                   derived cycles                                     N/A                            "NF = MH/PE groups"                                                                                                       finn/finn-rtllib/mvu/mvu_vvu_axi.sv:146                                                                                
concept                       MW vs ACTIVATION_WIDTH            "MW is a vector length (number of activation elements)                          ACTIVATION_WIDTH is bits per activation element"  dimension vs precision         N/A                                                                                                                       "Example: MW=24 and ACTIVATION_WIDTH=2 means 24 values each 2-bit"  finn/finn-rtllib/mvu/mvu_vvu_axi.sv:50             
concept                       MH vs WEIGHT_WIDTH                "MH is output-channel count (matrix rows)                                       WEIGHT_WIDTH is bits per weight value"            dimension vs precision         N/A                                                                                                                       "Example: MH=64 and WEIGHT_WIDTH=2 means 64 rows of 2-bit weights"  finn/finn-rtllib/mvu/mvu_vvu_axi.sv:51             
concept                       Output count vs output precision  "PE controls outputs per cycle (count)                                          ACCU_WIDTH controls bits per output (precision)"  dimension vs precision         N/A                                                                                                                       "Count and precision are independent knobs"                         finn/finn-rtllib/mvu/mvu.sv:41                     
